Serial Number,Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,Clock,Vehicle Year,Model,City,County,Driving Status,Pedestrian Involved,Bicyclist Involved,Other,Number Of Vehicles Involved,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Model_2,Moving_2,Accident Detail Description,Weather Clear,Weather Cloudy,Weather Raining,Weather Snowing,Weather Fog,Weather Other,Weather Wind,Lighting Daylight,Lighting Dark-Dawn,Lighting Dark-Street lights,Lighting Dark-No street lights,Lighting  Dark-Street lights not functioning,Roadway Dry,Roadway Wet,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
12,GM Cruise LLC,Cruise,5/18/2019,07:31,PM,2019,Bolt,San Francisco,San Francisco,Moving,,,,2,Yes,,,,Mazda 3 SW S,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was about to make a left turn after stopping at the four-way stop sign on westbound Euclid Avenue at the intersection with Palm Avenue when another vehicle made contact with the rear bumper of the Cruise AV. Police were not called and no injuries were reported at the scene by either party. Two of the Cruise AV testers sitting in the driver and front passenger seats later mentioned injuries.",,Yes,,,,,,,Yes,,,,,Yes,37.7812,-122.4614,0,0,1,1,0
13,Waymo LLC,Waymo LLC,5/22/2019,05:23,PM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,,,2,,Yes,,, Lexus IS350,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) in autonomous mode was yielding to check for cross traffic while in the slip lane to turn from northbound Whisman Station Drive to southbound S. Whisman Road in Mountain View when it was rear-ended by a passenger vehicle at approximately 7 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle had minor damage to its front bumper. There were no injuries reported at the scene.",,Yes,,,,,,Yes,,,,,Yes,,37.4056,-122.0775,0,0,1,1,1
14,GM Cruise LLC,Cruise,5/24/2019,07:36,PM,2019,Bolt,San Francisco,San Francisco,Moving,,,,2,,,Yes,,Elantra,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was changing lanes into the left turn lane on eastbound Geary Boulevard between 8th and 9th Avenues when the Cruise AV slowed down.  The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle  changing into the same lane made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s bumper.  There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.77493,-122.41942,0,0,0,1,1
15,Waymo LLC,Waymo LLC,5/29/2019,04:07,PM,2017,Pacifica,Palo Alto,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Honda Civic,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) in autonomous mode was stopped in traffic while in the leftmost lane on southbound San Antonio Road headed toward Charleston Road in Palo Alto when it was rear-ended by a passenger vehicle maneuvering into the Waymo AV’s lane at approximately less than 1 MPH. The Waymo AV sustained minor scratches to its rear sensor, and the passenger vehicle left the scene. There were no injuries reported at the scene.",Yes,,,,,,,Yes,,,,,Yes,,37.4673,-122.1388,-1,0,0,1,1
16,GM Cruise LLC,Cruise,06/08/2019,09:02,AM,2019,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Audi AA,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound on Clay Street through the intersection with Van Ness Avenue when another vehicle made contact with the rear right bumper of the Cruise AV, damaging the Cruise AV’s right brake light assembly. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7920843,-122.422643,-1,0,1,1,0
17,GM Cruise LLC,Cruise,6/13/2019,04:47,PM,2019,Bolt,Ssan Francisco,San Francisco,Moving,,,,2,,Yes,,,Journey,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southbound on Divisadero Street between Pine and Bush Streets when another vehicle made contact with the left rear bumper of the Cruise AV, damaging the bumper and left tail light. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7856,-122.4358,-1,0,0,1,0
18,Waymo LLC,Waymo LLC,6/16/2019,11:30,AM,2017,Pacifica,Palo Alto,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Honda Accord,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on the off-ramp from westbound Alma Street to southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 5 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle left the scene without stopping or exchanging information. The Waymo AV driver complained of neck, back, and nose pain and was treated at the scene by emergency responders. ",Yes,,,,,,,Yes,,,,,Yes,,37.4443,-122.1497,0,0,1,1,1
19,GM Cruise LLC,Cruise,6/26/2019,12:36,AM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Hyundai,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a right turn from northbound 10th Avenue onto eastbound California Street when another vehicle made contact with the Cruise AV’s left rear bumper, damaging the upper rear fascia and lower tail light assembly. The driver of the other vehicle drove away without exchanging information. Police were not called and no injuries were reported at the scene by either party. The Cruise AV tester sitting in the driver seat did not report injuries on the scene but later mentioned injuries.",Yes,,,,,,,,,Yes,,,Yes,,37.7826888,-122.4684437,-1,0,1,1,0
20,GM Cruise LLC,Cruise,6/27/2019,09:50,PM,2019,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,unk,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a right turn from northeast bound Bryant Street onto southeast bound 10th Street when another vehicle made contact with the Cruise AV’s left rear corner, damaging the upper left tail lamp assembly. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.7700018,-122.409436,-1,0,1,1,0
21,GM Cruise LLC,Cruise,6/29/2019,11:49,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Town & Country,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Duboce Avenue between Guerrero Street and Market Street when another vehicle made contact with the Cruise AV’s left rear corner, damaging the lower left tail lamp assembly and left rear wheel well. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.77493,-122.41942,-1,0,0,1,0
22,GM Cruise LLC,Cruise,07/01/2019,10:58,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Toyota,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northbound on Grant Street between Clay and Washington Streets when another vehicle, completing a left turn from Clay onto Grant, made contact with the left rear corner of the Cruise AV, damaging the left lower tail lamp and rear fascia. The driver of the other vehicle drove away without exchanging information. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7942617,-122.405998,0,0,1,1,0
23,GM Cruise LLC,Cruise,07/02/2019,09:47,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,BMW 633CSI,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was waiting for oncoming traffic to clear the intersection before making a left turn onto Bush Street from southbound Steiner Street when another vehicle made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia, bumper, and wheel well. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7856,-122.4358,-1,0,1,1,0
24,Waymo LLC,Waymo LLC,07/08/2019,03:10,PM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Toyota 86,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on southbound Escuela Avenue at El Camino Real in Mountain View when it was side-swiped. The Waymo AV was stopped in traffic at a red light when a passenger vehicle attempted to pass the Waymo AV on the right, and made contact with a sensor on the Waymo AV’s passenger side front fender at approximately 1 MPH. The Waymo AV’s sensor housing sustained a minor scratch, and the passenger vehicle sustained a minor scratch to its driver side mirror. There were no injuries reported at the scene. ",Yes,,,,,,,Yes,,,,,Yes,,37.3855,-122.088,0,0,1,1,1
25,GM Cruise LLC,Cruise,07/10/2019,09:59,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Suburban K1500,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling on southeast bound 10th Street between Market and Jessie Streets when another vehicle changing into the same lane made contact with the left rear corner of the Cruise AV, damaging the Cruise AV’s left rear bumper and wheel well. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.77493,-122.41942,0,0,0,1,0
26,GM Cruise LLC,Cruise,08/07/2019,10:23,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,NPR,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound on 24th Street between Noe and Sanchez Streets when the Cruise AV yielded to a jaywalking pedestrian and for clearance to maneuver around a double-parked vehicle immediately ahead of it. While the Cruise AV waited, another vehicle pulling out of a driveway and into the Cruise AV’s lane made contact with the left rear corner of the Cruise AV, damaging the Cruise AV’s left rear bumper, fender, and radar. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.77493,-122.41942,1,1,0,1,0
27,Waymo LLC,Waymo LLC,08/09/2019,09:56,AM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,Yes,,1,,Yes,,,Bicycle,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on southbound N. Shoreline Boulevard at W. Middlefield Road in Mountain View when a bicyclist made contact with the side of the Waymo AV. The Waymo AV was traveling in the far right lane on N. Shoreline Boulevard and slowing for a red light at W. Middlefield Road, when a bicyclist began to cross all lanes of traffic from the east side of N. Shoreline Boulevard to the west side of the boulevard, in a diagonal manner, against the flow of traffic. As the bicyclist approached the Waymo AV, the Waymo AV began braking for the bicyclist. As the Waymo AV came to a stop, the bicyclist then made contact with the driver’s side rear quarter panel of the Waymo AV at approximately 8 MPH. The Waymo AV sustained minor scratches to the driver’s side rear taillight, and the bicyclist, remaining upright, appeared to sustain no damage or injuries as they cycled away from the scene without exchanging information.",Yes,,,,,,,Yes,,,,,Yes,,37.4056,-122.0775,0,0,1,1,4
28,Waymo LLC,Waymo LLC,08/09/2019,07:45,AM,2017,Pacifica,Palo Alto,Santa Clara,Moving,,,,2,,Yes,,,Subaru Outback,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was in autonomous mode on the off-ramp from eastbound Alma Street to southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was traveling approximately less than 1 MPH and yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 5 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle sustained minor damage to its front bumper. There were no injuries reported at the scene. ",Yes,,,,,,,Yes,,,,,Yes,,37.4443,-122.1497,-1,0,1,1,1
29,Waymo LLC,Waymo LLC,08/12/2019,08:15,AM,2017,Pacifica,Mountain View,Santa Clara,Moving,,,,2,,Yes,,,Subaru Forester,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was in autonomous mode on northbound S. Rengstorff Avenue at Crisanto Avenue in Mountain View when it was rear-ended. After starting to proceed following a red-to-green traffic light change, the Waymo AV yielded to a bicyclist who merged from the bike lane into the Waymo AV’s travel lane, and a passenger vehicle then made contact with the rear bumper of the Waymo AV. The passenger vehicle was traveling at approximately 8 MPH, and the Waymo AV was traveling at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. There were no injuries reported at the scene.",Yes,,,,,,,Yes,,,,,Yes,,37.3855,-122.088,0,0,1,1,1
30,GM Cruise LLC,Cruise,8/22/2019,01:13,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Chevrolet,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.77493,-122.41942,0,0,0,1,0
31,GM Cruise LLC,Cruise,09/09/2019,04:24,PM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,Yes,,,,Forester,Yes,"A Cruise autonomous vehicle (“Cruise AV), operating in autonomous mode, was yielding to oncoming traffic prior to making a left turn onto northbound Palm Avenue from eastbound Geary Boulevard when another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The Cruise AV tester sitting in the front passenger seat later mentioned neck pain.",Yes,,,,,,,Yes,,,,,Yes,,37.7812,-122.4614,-1,0,1,1,0
32,Waymo LLC,Waymo LLC,9/14/2019,02:12,PM,2017,Pacifica,Los Altos,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Hyundai Ioniq,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in a grocery store parking lot in Los Altos when a passenger vehicle reversed into it. Three passengers were exiting the Waymo AV when the passenger vehicle in the right adjacent parking spot began to reverse out of the parking spot and made contact with the Waymo AV’s passenger side rear quarter panel at approximately 1 MPH. The Waymo AV sustained minor damage to its passenger side sliding rear door and rear quarter panel, and the passenger vehicle sustained minor damage to its rear bumper. No injuries were reported. ",Yes,,,,,,,Yes,,,,,Yes,,37.39941829,-122.1103115,0,1,0,1,1
33,GM Cruise LLC,Cruise,10/03/2019,04:40,PM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,Scooter,1,Yes,,,,unk.,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northeast bound on Bryant Street between 11th and 10th Streets when the Cruise AV yielded to a parallel parking vehicle ahead on the right. Shortly thereafter, a lane-splitting electric scooterist attempting to change lanes made contact with the left rear corner of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The electric scooterist later reported injuries.",Yes,,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,-1,1,0,1,4
34,Waymo LLC,Waymo LLC,10/10/2019,12:58,PM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Toyota Sienna,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in traffic at a red light on southbound Rengstorff Avenue at Central Expressway in Mountain View when it was rear-ended by a passenger vehicle. The passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 1 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported. ",Yes,,,,,,,Yes,,,,,Yes,,37.4056,-122.0775,0,0,1,1,1
35,Zoox Inc.,Zoox,10/11/2019,12:10,PM,2016,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,electric scooter,2,Yes,,,,Genza 2.0f electric scooter,Yes,"The stationary Zoox vehicle was in autonomous mode heading northbound on Union St. Contact occurred when the Zoox vehicle was stopped at a stop sign at the intersection of Union St. and Grant St., when it was rear-ended by an electric scooter. The scooter was following closely behind the Zoox vehicle and the scooter driver was not focused on the Zoox vehicle in front of it, when the scooter's front tire made contact with the rear bumper of the Zoox vehicle.  There were no injuries. ",Yes,,,,,,,Yes,,,,,Yes,,37.8002,-122.4091,0,0,1,1,4
36,Zoox Inc.,Zoox,10/12/2019,02:00,PM,2016,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,Car,2,Yes,,,,BMW 328 IX,Yes,"The stationary Zoox vehicle was in autonomous mode at the stop sign on Polk St. heading northbound towards Green St. The Zoox vehicle moved forward slightly, then slowed down in caution to a pedestrian on its left and potential oncoming vehicles when the driver of the vehicle behind the Zoox vehicle made contact with the rear bumper of the Zoox vehicle.  There were no injuries.",Yes,,,,,,,Yes,,,,,Yes,,37.7917,-122.4186,-1,0,1,1,0
37,Waymo LLC,Waymo LLC,10/14/2019,09:03,PM,2017,Pacifica,Los Altos,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Nissan NV200S,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on westbound Cuesta Drive at S. San Antonio Road in Los Altos when it was rear-ended.  The Waymo AV was preparing to make a right-on-red from Cuesta Drive onto northbound S. San Antonio Road and was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV's rear bumper at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained no damage to its front bumper. No injuries were reported. ",Yes,,,,,,,,,Yes,,,Yes,,37.3814,-122.1258,-1,0,1,1,1
38,Waymo LLC,Waymo LLC,10/16/2019,07:45,AM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,BMW X3,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on northbound Distel Drive at El Camino Real in Los Altos when it was rear-ended. The Waymo AV was preparing to make a right-on-red from Distel Drive onto eastbound El Camino Real and was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 1 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported. ",Yes,,,,,,,Yes,,,,,Yes,,37.3814,-122.1258,0,0,1,1,1
39,Cruise LLC,Cruise,10/17/2019,01:05,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Prius,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on southbound Hyde Street at the intersection with Sutter Street when another vehicle behind the Cruise AV attempted to change into the right adjacent lane and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear radar and assembly. There were no injuries and police were not called.",,,,,Yes,,,,,Yes,,,,Yes,37.7882381,-122.417125,0,0,1,1,0
40,Waymo LLC,Waymo LLC,10/18/2019,10:30,AM,2017,Pacifica, Palo Alto,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Toyota Prius,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on the interchange from eastbound Alma Street merging onto southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 8 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle sustained minor damage to its front bumper. There were no injuries reported at the scene; the Waymo test driver later reported dizziness but declined medical attention. ",Yes,,,,,,,Yes,,,,,Yes,,37.4443,-122.1497,0,0,1,1,1
41,Waymo LLC,Waymo LLC,10/28/2019,10:47,AM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Porsche Panamera,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was in autonomous mode and beginning to proceed at a green traffic light to turn left from northbound Castro Street to northbound Central Expressway in Mountain View when it was rear-ended at approximately 6 MPH by a passenger vehicle. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle left the scene without exchanging information. There were no injuries reported at the scene.",Yes,,,,,,,Yes,,,,,Yes,,37.3893,-122.0783,0,0,1,1,1
42,Waymo LLC,Waymo LLC,10/28/2019,07:43,AM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Honda Accord,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in the slip lane from southbound Whisman Station Drive to northbound Central Expressway in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 11 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. The Waymo AV test driver and Waymo passenger in the vehicle both reported neck pain, but declined medical treatment at the scene. No other injuries were reported.",Yes,,,,,,,,Yes,,,,Yes,,37.4056,-122.0775,-1,0,1,0,1
